Alpha,Sample,Start Date,End Date,Rebalance Frequency,Mean Gross Two-Sided Turnover,Gross Sharpe,Net Sharpe,Gross Annualized Return,Net Annualized Return,Selected on Validation
Reversal,Validation,2019-01-01,2021-12-31,1D,1.5560818905019629,0.6258485330485962,-1.304911901633152,0.06009967121693238,-0.1286813786579617,False
Reversal,Validation,2019-01-01,2021-12-31,5D,0.31278812618621255,0.4252034634666949,-0.025637215232570766,0.0339233884965644,-0.00601510992503429,False
Reversal,Validation,2019-01-01,2021-12-31,10D,0.1537687900240585,1.6093440321351156,1.383711526001284,0.14341172992044737,0.12148677081698533,True
Reversal,Validation,2019-01-01,2021-12-31,21D,0.07391155535304866,0.47918473554727037,0.3705034847841089,0.03834406571624793,0.02870416371859963,False
Reversal,Untouched Test,2022-01-01,2025-07-01,10D,0.15470646411156805,0.27265995077341115,0.04172650164467369,0.019655607560652433,-4.316374509971688e-05,True
Composite,Validation,2019-01-01,2021-12-31,1D,1.4739906020082634,0.7278503448632022,-2.323767279097789,0.04337814226329417,-0.13350178084250552,False
Composite,Validation,2019-01-01,2021-12-31,5D,0.29669120453166115,0.5041879572480561,-0.2497895504174354,0.02406523428623597,-0.013507166544316385,False
Composite,Validation,2019-01-01,2021-12-31,10D,0.1451987431208123,0.9943905650832358,0.5716111672468459,0.042941180400010825,0.024038049084019963,True
Composite,Validation,2019-01-01,2021-12-31,21D,0.07000462792277054,0.3351912291320848,0.15220153513468695,0.015162289228561665,0.006236705319619951,False
Composite,Untouched Test,2022-01-01,2025-07-01,10D,0.147096564199826,0.30321688693623366,-0.10115715585954561,0.012908623085413629,-0.00570723087448366,True
