Alpha,Mean Daily Hedged Return,Hedged Return Standard Deviation,Positive Hedged Return Ratio
Reversal,0.0002719585182409,0.0103910833154114,0.5254172989377845
Alpha012,9.957328304107256e-06,0.0041725184090719,0.5030349013657056
Composite,0.0002456701617159,0.0095243354835352,0.5254172989377845
